TicketID,ProductID,ProblemDescription
INC001_1,P1,core router cisco asr 9922 experiencing complete failure with no response to any management protocols  all connected distribution networks unreachable  multiple line cards reporting hardware errors and supervisor module unresponsive
INC002_1,P2,multiple access points and mdf equipment non responsive following severe thunderstorm  ups systems showing fault codes and bypassed to utility power  network connectivity to three floors completely lost and intermittent issues on remaining floors
INC003_1,P3,application load balancers failing to properly distribute traffic  resulting in service timeouts for approximately 65  of user requests  monitoring shows application servers are operational but not receiving balanced traffic distribution
INC004_1,P4,complete wan connectivity loss to three remote locations  primary and backup circuits both report los  loss of signal   branch offices unable to access any corporate resources and operating in isolation mode
INC005_1,P5,multiple external facing services experiencing degraded performance and intermittent availability due to volumetric ddos attack targeting web infrastructure  security monitoring detected attack traffic exceeding 120gbps from distributed sources
INC006_1,P6,dns resolution failures for internal and external domains resulting in application connectivity issues across all business units  users report inconsistent ability to access resources by hostname while ip based access remains functional
INC007_1,P7,complete data center outage following regional flooding event  primary and backup power systems compromised  all hosted services offline and water detected in raised floor areas
INC008_1,P8,bgp sessions to multiple upstream providers flapping causing internet connectivity instability and routing inconsistencies  external services experiencing intermittent accessibility and increased latency
INC009_1,P9,access layer switches showing continuous reboots after firmware upgrade  poe devices receiving inconsistent power  multiple vlans affected and users reporting connectivity issues throughout campus network
INC010_1,P10,physical damage to cable plant in metropolitan office location affecting 12 floors of connectivity  approximately 400 users impacted with complete loss of network services
INC011_1,P11,authentication failures across all network services  users unable to access resources requiring domain credentials  single sign on systems showing consistent error codes related to backend authentication services
INC012_1,P12,data center cooling failure causing automated thermal shutdown of network core equipment  temperature sensors reporting critical values exceeding 95  f in equipment rows
INC013_1,P13,complete loss of connectivity to cloud services across multiple providers  all hybrid cloud applications and services unreachable  users unable to access any externally hosted resources
INC014_1,P14,monitoring systems and backup services unavailable following scheduled maintenance window  backup jobs failing and alerting non functional  critical systems operating without proper monitoring or successful backups
INC015_1,P15,widespread configuration errors following automated deployment causing inconsistent policy application across firewalls  security rules inconsistently applied causing both false positives and false negatives in traffic filtering
INC016_1,P16,user authentication database corruption causing inability to validate credentials across all application platforms  users reporting consistent  invalid credentials  errors despite using correct username password combinations
INC017_1,P17,distribution center experiencing intermittent power related equipment failures due to voltage fluctuations affecting network infrastructure  ups systems showing frequent transfers to battery operation with audible alarms
